2020-04-15 00:09:56.767 +02:00 [INF] Hello, Serilog!
2020-04-15 00:14:25.959 +02:00 [INF] Hello, Serilog!
2020-04-15 00:15:40.343 +02:00 [INF] Hello, Serilog!
2020-04-15 00:31:06.588 +02:00 [INF] Hello, Serilog!
2020-04-15 15:00:50.119 +02:00 [INF] Hello, Serilog!
2020-04-15 15:03:54.407 +02:00 [INF] Hello, Serilog!
2020-04-15 15:09:34.787 +02:00 [INF] Hello, Serilog!
2020-04-15 15:20:51.881 +02:00 [INF] Hello, Serilog!
2020-04-15 15:33:03.598 +02:00 [INF] Hello, Serilog!
2020-04-15 15:36:18.021 +02:00 [INF] Hello, Serilog!
2020-04-15 15:41:03.747 +02:00 [INF] Hello, Serilog!
2020-04-15 15:43:13.732 +02:00 [INF] Hello, Serilog!
2020-04-15 15:44:33.893 +02:00 [INF] Hello, Serilog!
2020-04-15 15:45:44.921 +02:00 [INF] Hello, Serilog!
2020-04-15 15:47:39.548 +02:00 [INF] Hello, Serilog!
2020-04-15 15:49:36.155 +02:00 [INF] Hello, Serilog!
2020-04-15 15:52:08.570 +02:00 [INF] Hello, Serilog!
2020-04-15 15:53:38.084 +02:00 [INF] Hello, Serilog!
2020-04-15 16:07:39.981 +02:00 [INF] Hello, Serilog!
2020-04-15 16:10:36.561 +02:00 [INF] Hello, Serilog!
2020-04-15 16:26:55.820 +02:00 [INF] Hello, Serilog!
2020-04-15 16:28:30.864 +02:00 [INF] Hello, Serilog!
2020-04-15 16:31:06.678 +02:00 [INF] Hello, Serilog!
2020-04-15 16:40:34.554 +02:00 [INF] Hello, Serilog!
2020-04-15 16:41:41.105 +02:00 [INF] Hello, Serilog!
2020-04-15 16:47:38.719 +02:00 [INF] Hello, Serilog!
2020-04-15 16:51:49.957 +02:00 [INF] Hello, Serilog!
2020-04-15 16:59:21.170 +02:00 [INF] Hello, Serilog!
2020-04-15 17:01:40.258 +02:00 [INF] Hello, Serilog!
2020-04-15 17:09:50.733 +02:00 [INF] Hello, Serilog!
2020-04-15 17:58:36.621 +02:00 [INF] Hello, Serilog!
